ItemID, OptionID
1, 1
1, 2
1, 3
1, 4
2, 1
2, 2
2, 3
2, 4
3, 1
3, 2
3, 3
3, 4
4, 1
4, 2
4, 3
4, 4
5, 5
5, 6
5, 7
6, 5
6, 6
6, 7
7, 5
7, 6
7, 7
8, 5
8, 6
8, 7
9, 5
9, 6
9, 7
10, 5
10, 6
10, 7
11, 5
11, 6
11, 7
12, 5
12, 6
12, 7
13, 5
13, 8
13, 9
14, 5
14, 8
14, 9
15, 5
15, 8
15, 9
16, 5
16, 8
16, 9
17, 5
17, 8
17, 9
18, 5
18, 8
18, 9
19, 5
19, 8
19, 9
20, 5
20, 8
20, 9
21, 5
21, 8
21, 9
22, 5
22, 8
22, 9
23, 5
23, 8
23, 9
24, 10
24, 11
24, 12
25, 10
25, 11
25, 12
26, 10
26, 11
26, 12
27, 10
27, 11
27, 12
28, 10
28, 11
28, 12
29, 1
29, 2
29, 3
29, 4
30, 1
30, 2
30, 3
30, 4
31, 1
31, 2
31, 3
31, 4
32, 1
32, 2
32, 3
32, 4
